Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Transit Temperature [K],Eclipse Temperature [K],Planet Semi-major Axis [AU],Planet Semi-major Axis [m],Planet-Star Separation Transit [m],Planet-Star Separation Eclipse [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier,Tmag_TIC,Distance_pc_TIC,RA_TIC,Dec_TIC,dr2_source_id,dr3_source_id,phot_g_mean_mag,angular_distance
55 Cnc,0.91,-0.02,0.02,5172.0,-18.0,18.0,0.94,-0.01,0.01,12.5855,-0.0123,0.0124,4.43,-0.02,0.02,Gaia DR2 704967037090946688,4.265,4.590000153,4.014999866,5.95084,5.72973,4.001,3.296,4.051,4.014,0,0.35,-0.1,0.1,[Fe/H],10.2,-2.5,2.5,G8 V,133.1468373,28.3298154,55 Cnc e,1.871899782,0.033626942,-0.033626942,0.167,0.003,-0.003,7.739121701,0.368680952,-0.298758702,0.02435,0.00116,-0.00094,0,1,6.0,0.7365474,-1.4e-06,1.3e-06,1880.057222,1929.052343,1835.118837,0.015478815,2314082889.0,2198633781.0,2429475556.0,0.3,2.3,5218.029556,0.39,1,83.59,-0.44,0.47,0.05,-0.03,0.03,0,86.0,-33.4,30.7,7063.2096,0.0006,-0.0004,0,7063.577874,5765.8876,1,0.0375,0.000494,-0.000494,1,2004,0,0,0,6,9,15,17,24,28,Transit,6,15,24,2,5.2058,12.5855,133.149213869445,28.3308213614678,704967037090946688,704967037090946688,5.732681,0.17493042
AU Mic,0.5,-0.03,0.03,3700.0,-100.0,100.0,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.43599987,4.528999805,8.626999855,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic c,3.239395431,0.15692573,-0.15692573,0.289,0.014,-0.014,22.2003142,6.699822811,-6.699822811,0.06985,0.02108,-0.02108,0,1,8.5,18.858991,,,479.5932681,484.5103784,475.5742834,0.110135102,16465197715.0,16137149109.0,16749284373.0,0.1,2.3,16051.12795,0.3,1,89.39,-0.38,0.4,0.041,-0.026,0.047,0,153.0,-94.0,124.0,8342.2243,,,0,8351.653795,16660.00015,1,,,,2,2021,0,0,0,11,1087,18,1135,25,2017,Transit,11,18,25,2,6.755,9.7221,311.289718192023,-31.3409004606736,6794047652729201024,6794047652729201024,7.8434396,0.16348411
AU Mic,0.5,-0.03,0.03,3588.0,-87.0,87.0,0.7,-0.02,0.02,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.43599987,4.528999805,8.626999855,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic b,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,11.69926365,4.999440836,-4.999440836,0.03681,0.01573,-0.01573,0,1,5.8,8.4629991,,,586.8677302,650.5440748,538.9819182,0.064554965,9650967306.0,7856293983.0,11445184191.0,0.1,2.3,10103.14785,0.18,1,89.5,-0.3,0.3,0.186,-0.035,0.036,0,88.528,-0.218,0.218,8330.39046,,,0,8334.62196,14718.43954,1,0.287229,0.021705,-0.021705,2,2020,0,0,0,1,89,1,98,2,172,Transit,1,1,2,3,6.755,9.7221,311.289718192023,-31.3409004606736,6794047652729201024,6794047652729201024,7.8434396,0.16348411
CoRoT-11,1.27,-0.05,0.05,6440.0,-120.0,120.0,1.37,-0.03,0.03,655.037,-23.209,24.947,4.22,-0.23,0.23,Gaia DR2 4285511294172309504,11.416,11.58899975,11.24800014,12.93900013,12.841,11.173,11.265,11.47,9.198,0,-0.03,-0.08,0.08,[Fe/H],2.0,-1.0,1.0,F6 V,280.6872998,5.9376586,CoRoT-11 b,16.02884245,0.336269422,-0.336269422,1.43,0.03,-0.03,832.7104253,187.5187599,-197.0536121,2.62,0.59,-0.62,0,1,334.0,2.99433,-1.1e-05,1.1e-05,1675.07684,1675.07684,1675.07684,0.04406135,6587171861.0,6587171861.0,6587171861.0,0.3,2.3,8973.287257,0.818,1,83.17,-0.15,0.15,0.0,,,0,,,,4597.679,0.0003,-0.0003,0,4599.176165,8973.287257,1,1.1449,0.010725,-0.010675,1,2010,1,0,1,34,2,503,12,1000,23,Eclipse,2,12,23,2,12.419,655.037,280.687291461833,5.93768115658147,4285511294172309504,4285511294172309504,12.83414,0.27594355
CoRoT-2,0.96,-0.08,0.08,5625.0,-120.0,120.0,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.78299999,10.31000042,12.56799984,12.2489,10.064,10.098,10.189,9.035,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,CoRoT-2 b,16.43236575,0.470777191,-0.493195152,1.466,0.042,-0.044,1052.012026,50.85254506,-50.85254506,3.31,0.16,-0.16,0,1,0.0,1.7429935,-1e-06,1e-06,1496.310943,1507.101495,1486.166288,0.027981933,4183298959.0,4124748552.0,4241775395.0,0.3,2.3,8232.826537,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102.0,-5.0,17.0,4237.53556,0.0002,-0.00021,0,4238.407057,8466.407248,1,2.75,0.012,-0.012,1,2008,0,0,0,4,1,43,1,86,1,Eclipse,1,1,1,3,11.6659,213.283,291.777060342228,1.38371044366073,4287820848378092672,4287820848378092672,12.236511,0.27771735
CoRoT-19,1.21,-0.05,0.05,6090.0,-70.0,70.0,1.65,-0.04,0.04,790.663,-25.071,26.737,4.07,-0.03,0.03,Gaia DR2 3120002649138831360,11.961,12.32400036,11.83699989,14.00699997,13.7831,11.763,11.787,12.08,9.147,0,-0.02,-0.1,0.1,[Fe/H],5.0,-1.0,1.0,F9 V,97.0335983,-0.1707293,CoRoT-19 b,14.45958514,0.336269422,-0.336269422,1.29,0.03,-0.03,367.0918096,22.88364527,-22.88364527,1.155,0.072,-0.072,0,1,131.5,3.89713,-2e-05,2e-05,1605.101482,1605.101482,1605.101482,0.051683094,7726622576.0,7726622576.0,7726622576.0,0.3,2.3,16852.01045,0.24,1,88.0,-0.7,0.7,0.047,-0.045,0.045,0,,,,5257.44102,0.0006,-0.0006,0,5259.389585,16852.01045,1,0.631275,0.027997,-0.027997,1,2011,1,0,1,17,4,240,23,476,45,Eclipse,4,23,45,1,13.1861,790.663,97.0335776182332,-0.170703431834775,3120002649138831360,3120002649138831360,13.771415,0.081995904
CoRoT-3,1.37,-0.09,0.09,6740.0,-140.0,140.0,1.56,-0.09,0.09,768.771,-28.545,30.791,4.22,-0.07,0.07,Gaia DR2 4263427117767106816,11.71,11.93999958,11.61999989,13.29199982,13.2188,11.343,11.394,11.323,8.979,0,0.14,-0.04,0.04,[Fe/H],2.2,-0.6,0.6,F3 V,292.0552827,0.1218359,CoRoT-3 b,11.32107054,0.784628651,-0.784628651,1.01,0.07,-0.07,6814.241037,305.1152703,-308.2935544,21.44,0.96,-0.97,0,1,2173.0,4.2568,-5e-06,5e-06,1642.845703,1642.845703,1642.845703,0.057132839,8541359462.0,8541359462.0,8541359462.0,0.3,2.3,13658.60083,0.55,1,85.9,-0.8,0.8,0.0,,,0,,,,4283.1383,0.0003,-0.0003,0,4285.2667,13658.60083,1,0.4398,0.0084,-0.0091,1,2008,1,0,1,21815,9,319855,62,635420,124,Eclipse,9,62,124,1,12.7127,768.771,292.055267701168,0.121837306179597,4263427117767106816,4263427117767106816,13.208983,0.038419366
CoRoT-36,1.32,-0.09,0.09,6730.0,-140.0,140.0,1.52,-0.1,0.2,925.958,-26.247,27.796,4.16,-0.06,0.06,Gaia DR2 4477340334766250496,11.641,11.85900021,11.59200001,13.14000034,12.9515,11.512,11.539,11.234,8.872,0,-0.1,-0.1,0.1,[Fe/H],2.1,-0.5,0.6,F3 V,277.7510149,7.1833465,CoRoT-36 b,15.80466283,1.569257302,-1.569257302,1.41,0.14,-0.14,216.1233165,149.3793511,-136.6662148,0.68,0.47,-0.43,0,1,65.0,5.616531,-2.3e-05,2.3e-05,1485.505417,1485.505417,1485.505417,0.067882871,10148489275.0,10148489275.0,10148489275.0,0.3,2.3,15088.62207,0.573,1,85.83,-0.26,0.26,0.0,,,0,,,,5662.52236,0.00034,-0.00034,0,5665.330625,15088.62207,1,1.01,0.011,-0.011,1,2022,1,0,1,6,6,75,39,148,77,Eclipse,6,39,77,1,12.5161,925.958,277.751010660779,7.18336361705537,4477340334766250496,4477340334766250496,12.940691,0.06353121
DS Tuc A,1.01,-0.06,0.06,5428.0,-80.0,80.0,0.96,-0.03,0.03,44.0622,-0.0691,0.0693,4.6,-0.15,0.15,Gaia DR2 6387058411482257536,6.759,7.122000217,6.679999828,8.225999832,8.31926,6.767,6.65,6.728,6.589,0,0.0,,,,0.045,-0.004,0.004,G6 V,354.9154673,-69.196043,DS Tuc A b,5.705371192,0.168134711,-0.168134711,0.509,0.015,-0.015,27.79890392,0.0,0.0,0.087465133,0.0,0.0,1,0,0.0,8.138268,-1.1e-05,1.1e-05,879.83315,879.83315,879.83315,0.079503315,11885745570.0,11885745570.0,11885745570.0,0.3,2.3,13075.11774,0.18,1,89.5,-0.41,0.34,0.0,,,0,,,,8332.30997,0.00026,-0.00026,0,8336.379104,13075.11774,1,0.2936,0.0026,-0.0026,2,2019,0,0,0,1,7,3,18,4,32,Transit,1,3,4,2,7.8541,44.0622,354.914504004534,-69.195752595235,6387058411482257536,6387058411482257536,8.341437,0.23405552
EPIC 211945201,1.17,-0.04,0.04,6069.0,-90.0,90.0,1.39,-0.02,0.02,181.69,-1.277,1.295,4.22,-0.02,0.02,Gaia DR2 636363799347569408,8.908,9.144000053,8.836999893,10.14999962,10.0512,8.822,8.844,8.81,8.623,0,0.1,-0.05,0.05,[Fe/H],3.99,-0.7,0.85,G0,136.5741931,19.4020565,EPIC 211945201 b,5.761416096,0.30264248,-0.30264248,0.514,0.027,-0.027,26.99952314,14.00034131,-12.59871804,0.08495,0.04405,-0.03964,0,1,5.7,19.49221,-0.000653,0.000666,863.3010925,863.3010925,863.3010925,0.149471868,22346044270.0,22346044270.0,22346044270.0,0.3,2.3,19988.2842,0.58,1,87.9,-0.06,0.06,0.0,,,0,90.0,,,7158.82477,0.00086,-0.00085,0,7168.570875,19988.2842,1,0.17,1.1e-05,-1.1e-05,1,2018,0,0,0,4,79,30,404,58,837,Transit,4,30,58,1,9.66896,181.69,136.573985459816,19.4022364477753,636363799347569408,636363799347569408,10.056372,0.20749561
